"Aaron Feigelson", 15, 0, 1, 1, 7, 7, 1.00, 1, 0, 2, +
"Alexander M. Meystel", 20, 1, 1, 0, 6, 11, 0.55, 2, 1, 3, -
"Alma Whitten", 12, 1, 1, 0, 4, 7, 0.57, 1, 0, 2, -
"Ameur Foued", 11, 0, 1, 0, 6, 4, 1.50, 1, 0, 2, -
"Andrew W. Moore", 15, 0, 1, 0, 5, 7, 0.71, 2, 1, 3, -
"Andrew Y. Ng", 12, 1, 1, 0, 2, 7, 0.29, 2, 1, 3, -
"Andrey Burago", 13, 0, 1, 0, 5, 7, 0.71, 1, 0, 2, -
"Anselm Blumer", 13, 0, 1, 0, 4, 8, 0.50, 1, 0, 2, -
"Antoine Cornuejols", 18, 1, 1, 0, 8, 9, 0.89, 1, 0, 2, -
"Arlindo Oliveira", 16, 1, 1, 0, 8, 7, 1.14, 1, 0, 2, -
"Armand Prieditis", 16, 1, 1, 0, 6, 9, 0.67, 1, 0, 2, -
"Arun Sharma", 11, 0, 1, 0, 4, 6, 0.67, 1, 0, 2, -
"Attilio Giordana", 16, 1, 1, 0, 8, 7, 1.14, 1, 0, 2, -
"Aurora Perez", 12, 1, 1, 1, 6, 5, 1.20, 1, 0, 2, +
"Avrim Blum", 10, 1, 1, 0, 3, 6, 0.50, 1, 0, 2, -
"Bala Kalyanasundaram", 20, 1, 0, 1, 8, 11, 0.73, 1, 0, 2, +
"Barak A. Pearlmutter", 20, 1, 0, 1, 7, 10, 0.70, 2, 1, 3, +
"Bernhard Pfahringer", 19, 0, 0, 1, 5, 13, 0.38, 1, 0, 2, +
"Bhaskar Dasgupta", 16, 1, 0, 0, 5, 10, 0.50, 1, 0, 2, -
"Bill Byrne", 10, 1, 0, 1, 2, 7, 0.29, 1, 0, 2, +
"Bir Bhanu", 9, 0, 0, 1, 3, 5, 0.60, 1, 0, 2, +
"Bob Evans", 9, 0, 0, 1, 3, 5, 0.60, 1, 0, 2, +
"Bradley L. Whitehall", 20, 1, 0, 0, 5, 12, 0.42, 2, 1, 3, -
"Brian D. Davidson", 17, 0, 0, 0, 5, 9, 0.56, 2, 1, 3, -
"Brian Tester", 12, 1, 0, 0, 4, 7, 0.57, 1, 0, 2, -
"Bruce A. MacDonald", 18, 1, 0, 0, 6, 9, 0.67, 2, 1, 3, -
"Carl H. Smith", 13, 0, 0, 1, 2, 8, 0.25, 2, 1, 3, +
"Carla E. Brodley", 16, 1, 0, 1, 5, 8, 0.62, 2, 1, 3, +
"Charles X. Ling", 15, 0, 0, 0, 3, 9, 0.33, 2, 1, 3, -
"Chen K. Tham", 12, 1, 0, 0, 2, 7, 0.29, 2, 1, 3, -
"Chidanand Apte", 14, 1, 0, 0, 5, 8, 0.62, 1, 0, 2, -
"Chris Darken", 12, 1, 0, 0, 3, 8, 0.38, 1, 0, 2, -
"Chris Drummond", 14, 1, 0, 0, 3, 10, 0.30, 1, 0, 2, -
"Chun-Nan Hsu", 12, 1, 0, 0, 3, 8, 0.38, 1, 0, 2, -
"Claire Cardie", 13, 0, 0, 0, 6, 6, 1.00, 1, 0, 2, -
"Clare Bates Congdon", 19, 0, 0, 0, 6, 11, 0.55, 2, 0, 3, -
"Claude Sammut", 13, 0, 0, 0, 5, 7, 0.71, 1, 0, 2, -
"Claudio Facchinetti", 19, 0, 0, 0, 8, 10, 0.80, 1, 0, 2, -
"Craig Knoblock", 14, 1, 0, 0, 4, 9, 0.44, 1, 0, 2, -
"Craig Nevill-Manning", 20, 1, 0, 0, 6, 13, 0.46, 1, 0, 2, -
"Cristina Baroglio", 17, 0, 0, 0, 7, 9, 0.78, 1, 0, 2, -
"Cullen Schaffer", 15, 0, 0, 1, 4, 10, 0.40, 1, 0, 2, +
"Dan Oblinger", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Dan Roth", 8, 1, 0, 1, 2, 5, 0.40, 1, 0, 2, +
"Dana Angluin", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Dana Ron", 8, 1, 0, 1, 3, 4, 0.75, 1, 0, 2, +
"Daniel Hennessy", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Daniel Kortenkamp", 17, 0, 0, 1, 6, 10, 0.60, 1, 0, 2, +
"Daniel L. Silver", 16, 1, 0, 1, 5, 8, 0.62, 2, 1, 3, +
"Darko Zupanic", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"David B. Skalak", 15, 0, 0, 1, 4, 8, 0.50, 2, 1, 3, +
"David Cohn", 10, 1, 0, 1, 3, 6, 0.50, 1, 0, 2, +
"David Finton", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"David Gillman", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"David Haussler", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"David Helmbold", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"David Loewenstern", 17, 0, 0, 1, 6, 10, 0.60, 1, 0, 2, +
"David Mathias", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"David Montgomery", 16, 1, 0, 1, 5, 10, 0.50, 1, 0, 2, +
"David Pierce", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"David W. Aha", 12, 1, 0, 1, 4, 5, 0.80, 2, 1, 3, +
"David W. Opitz", 14, 1, 0, 1, 4, 7, 0.57, 2, 1, 3, +
"Dennis F. Kibler", 16, 1, 0, 1, 4, 9, 0.44, 2, 1, 3, +
"Diana Gordon", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Donna Slonim", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Drago Indjic", 12, 1, 0, 0, 4, 7, 0.57, 1, 0, 2, -
"Dunja Mladenic", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Earl S. Harris Jr.", 18, 1, 1, 1, 4, 9, 0.44, 3, 2, 4, +
"Ed Pednault", 11, 0, 1, 0, 4, 6, 0.67, 1, 0, 2, -
"Eddy Mayoraz", 12, 1, 1, 0, 4, 7, 0.57, 1, 0, 2, -
"Efim Kinber", 11, 0, 1, 0, 4, 6, 0.67, 1, 0, 2, -
"Emanuel Knill", 13, 0, 1, 0, 5, 7, 0.71, 1, 0, 2, -
"Eric Allender", 13, 0, 1, 0, 5, 7, 0.71, 1, 0, 2, -
"Eric Baum", 9, 0, 1, 0, 4, 4, 1.00, 1, 0, 2, -
"Eyal Kushilevitz", 16, 1, 1, 0, 6, 9, 0.67, 1, 0, 2, -
"Fernando Pereira", 16, 1, 0, 1, 7, 8, 0.88, 1, 0, 2, +
"Filippo Neri", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Foster J. Provost", 17, 0, 0, 1, 4, 10, 0.40, 2, 1, 3, +
"Frank Stephan", 13, 0, 0, 0, 3, 9, 0.33, 1, 0, 2, -
"Gary M. Selzer", 14, 1, 0, 1, 3, 8, 0.38, 2, 1, 3, +
"Gary Weiss", 10, 1, 0, 1, 3, 6, 0.50, 1, 0, 2, +
"Geoffrey Gordon", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"George A. Drastal", 17, 0, 0, 1, 6, 8, 0.75, 2, 1, 3, +
"George Berg", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"George H. John", 14, 1, 0, 1, 4, 7, 0.57, 2, 1, 3, +
"Gerald F. DeJong", 16, 1, 0, 1, 4, 9, 0.44, 2, 1, 3, +
"Glenn Silverstein", 17, 0, 0, 0, 5, 11, 0.45, 1, 0, 2, -
