0,Aaron Feigelson, +
1,Alexander M. Meystel, -
2,Alma Whitten, -
3,Ameur Foued, -
4,Andrew W. Moore, -
5,Andrew Y. Ng, -
6,Andrey Burago, -
7,Anselm Blumer, -
8,Antoine Cornuejols, -
9,Arlindo Oliveira, -
10,Armand Prieditis, -
11,Arun Sharma, -
12,Attilio Giordana, -
13,Aurora Perez, +
14,Avrim Blum, -
15,Bala Kalyanasundaram, +
16,Barak A. Pearlmutter, +
17,Bernhard Pfahringer, +
18,Bhaskar Dasgupta, -
19,Bill Byrne, +
20,Bir Bhanu, +
21,Bob Evans, +
22,Bradley L. Whitehall, -
23,Brian D. Davidson, -
24,Brian Tester, -
25,Bruce A. MacDonald, -
26,Carl H. Smith, +
27,Carla E. Brodley, +
28,Charles X. Ling, -
29,Chen K. Tham, -
30,Chidanand Apte, -
31,Chris Darken, -
32,Chris Drummond, -
33,Chun-Nan Hsu, -
34,Claire Cardie, -
35,Clare Bates Congdon, -
36,Claude Sammut, -
37,Claudio Facchinetti, -
38,Craig Knoblock, -
39,Craig Nevill-Manning, -
40,Cristina Baroglio, -
41,Cullen Schaffer, +
42,Dan Oblinger, +
43,Dan Roth, +
44,Dana Angluin, +
45,Dana Ron, +
46,Daniel Hennessy, +
47,Daniel Kortenkamp, +
48,Daniel L. Silver, +
49,Darko Zupanic, +
50,David B. Skalak, +
51,David Cohn, +
52,David Finton, +
53,David Gillman, +
54,David Haussler, +
55,David Helmbold, +
56,David Loewenstern, +
57,David Mathias, +
58,David Montgomery, +
59,David Pierce, +
60,David W. Aha, +
61,David W. Opitz, +
62,Dennis F. Kibler, +
63,Diana Gordon, +
64,Donna Slonim, +
65,Drago Indjic, -
66,Dunja Mladenic, +
67,Earl S. Harris Jr., +
68,Ed Pednault, -
69,Eddy Mayoraz, -
70,Efim Kinber, -
71,Emanuel Knill, -
72,Eric Allender, -
73,Eric Baum, -
74,Eyal Kushilevitz, -
75,Fernando Pereira, +
76,Filippo Neri, +
77,Foster J. Provost, +
78,Frank Stephan, -
79,Gary M. Selzer, +
80,Gary Weiss, +
81,Geoffrey Gordon, +
82,George A. Drastal, +
83,George Berg, +
84,George H. John, +
85,Gerald F. DeJong, +
86,Glenn Silverstein, -
87,Grigoris Karakoulas, -
88,Hal Duncan, +
89,Haralabos Athanassiou, +
90,Harris Drucker, +
91,Haym Hirsh, +
92,Hiroshi Motoda, +
93,Hiroshi Tanaka, +
94,Holly Yanco, +
95,Huw Roberts, +
96,Irina Tchoumatchenko, -
97,J. Jeffrey Mahoney, -
98,J. R. Quinlan, -
99,James S. Royer, +
100,Janusz Wnek, +
101,Jason Catlett, +
102,Javed Aslam, +
103,Jean Gabriel Ganascia, +
104,Jean-Daniel Zucker, +
105,Jeff Jackson, +
106,Jeffery Clouse, +
107,Jiarong Hong, +
108,Jing Peng, +
109,Joe Suzuki, +
110,Joel Ratsaby, +
111,Johanne Morin, +
112,Johannes Furnkranz, +
113,John Case, +
114,John Fischer, +
115,John M. Zelle, +
116,John R. Rose, +
117,John Rachlin, +
118,Jonathan Gratch, +
119,Jonathan Hodgson, +
120,Jong-Hoon Oh, +
121,Jorg-Uwe Kietz, +
122,Jose L. Balcazar, +
123,Joseph O'Sullivan, +
124,Jude Shavlik, +
125,Judy A. Franklin, +
126,Justin Boyan, +
127,Justinian Rosca, +
128,Jyrki Kivinen, -
129,Kamal M. Ali, +
130,Kan Deng, +
131,Karsten Verbeurgt, +
132,Kate Goelz, +
133,Kazushi Ikeda, +
134,Ken Lang, +
135,Kenji Yamanishi, +
136,Kimmen Sjolander, +
137,Klaus P. Jantke, -
138,Krishnan Pillaipakkamnatt, -
139,L. Thorne McCarty, -
140,Lance Fortnow, +
141,Lance Riley, +
142,Lars Asker, +
143,Leonard Pitt, +
144,Leslie Grate, +
145,Leslie Pack Kaelbling, +
146,Lindley Darden, +
147,Lisa Hellerstein, +
148,Long-Ji Lin, +
149,Lorenza Saitta, +
150,Lorien Y. Pratt, +
151,Lyle H. Ungar, -
152,Maja Mataric, +
153,Malini Bhandaru, +
154,Mandayam T. Suraj, +
155,Manfred Warmuth, +
156,Marcos Salganicoff, +
157,Margo Guertin, +
158,Mario Marchand, +
159,Mark Changizi, +
160,Mark Schwabacher, +
161,Mark Staley, +
162,Mark W. Craven, +
163,Marko Grobelnik, +
164,Martin Kummer, +
165,Martinch Krikis, +
166,Mary Soon Lee, +
167,Masayuki Inaba, +
168,Matevz Kovacic, +
169,Matthias Heger, +
170,Melinda T. Gervasio, +
171,Merrick L. Furst, +
172,Michael A. meystel, +
173,Michael I. Jordan, +
174,Michael J. Donahue, +
175,Michael Kearns, +
176,Michael Littman, +
177,Michael Redmond, +
178,Michael W. Barley, +
179,Michael de la Maza, +
180,Michele Sebag, +
181,Minoru Asada, +
182,Mona Singh, +
183,Moshe Koppel, +
184,Moshe Leshno, +
185,Myriam Abramson, -
